,text,time
0,"அன்று தமிழர்களை கொன்று குவித்தது அவர்கள் சாபம்
இன்று உன் வீரத்தை காட்டு
உன் நாட்டு மக்கள் மனதில் வேரோடு தூக்கி எறிந்து விட போகிறார்கள்
உனக்கு பயம் காட்ட வேண்டாமா....",13 days ago
0,anavathuko.manthrathko.antavan.yeanrakum.thunaie.nerkam.matar.yenga.tamilargallai.mana.sakhie.ellamal.konru.poterkerar.antavana.parthuthan.ethanai.sothanai.antha.manietharku.vatheruku.ethuve.oru.patamthan...,13 days ago
0,பற்ற வைத்த நெருப்பு இன்று எரியுது  🔥🔥🔥🔥🔥,13 days ago
0,கொழும்பு கொழம்பு ஆன கதை,13 days ago
0,ராஜபக்சே சகோதரர்கள் தலை வெட்டி வீசுங்கள்,13 days ago
0,"ராசபக்சே சார், நீங்க தமிழ்நாடு வந்திருங்க. இங்கு நடப்பது நம்ப தீம்கா ஆட்சி, உங்களுக்கு உதவுவோம். ராசபக்சே  நண்பேண்டா....",13 days ago
0,Kudumba arasiyalukku ella idathilum mudivu kondu varavendum,13 days ago
0,இந்த குடும்பத்தை அழித்தொழிக்கபடவேன்டும்,13 days ago
0,ராஜபக்ச செய்த இனப் படுகொலை பற்றி ஒரு சொல் கூட பேசாமல் காணொளியை பதிவு செய்த ஊடக வேசிகளா.,13 days ago
0,நாம் தமிழர்,13 days ago
0,"இலங்கையில்  குடும்ப அரசியல் ஓழிக்கப்படுகிறது.
தமிழகத்தில்  என்று  ?????😡😡
தமிழா விழித்துக் கொள்",13 days ago
0,hanuman langhavai marupadeeyum yergeerar pongha athipatum odapoghrrar uyeruku payanthu,13 days ago
0, @Baskaran Padmanaban  hanumaana konnu theela potuwaan singala kaaran,13 days ago
0," @Mohamed Zahid  ராசபக்சேயும் தெலுங்கர் என சொல்றாங்க, அதனால நாங்க தமிழ்நாட்டு அரசு உதவுரது முறை. வால்க தீம்கா...",13 days ago
0,THAMIZH KADAOL MURGAN. ENAMAM YAM THAMIZHYNAM..... ERAIVAN  MANNITHU  PONALUM. YAMTHAMIZH ARAM NINDRU  PALIMUDIKUM.  THAMIZH  MOZHYYALLA. YAMUIYER 🙏,13 days ago
0,Pavam   maggall,13 days ago
0,Telungan thirudthu kootam dravidian model.,13 days ago
0,China Corona,13 days ago
0,"மந்திரத்தை விட  மெளன த்துக்கு  சக்தி அதிகம்
ஓம் நமோ நாராயணாய நமக",13 days ago
0,பழனி முருகனை.நேரில்.பார்ததைவிட.மகிழ்ச்சி.ராஜபக்சேஓஓஓட்டம்,13 days ago
0,"Enga seethayai, enga ramalinga adigalara, enga tamizh makkalai naasapaduthinengale savunga da verodu azhinju ponga",13 days ago
0,Tamil makkalukku Panna pavam thirupi adekkudu galipanneduvanga makkal,13 days ago
0,"அப்பாடா நிம்மதியாக இருக்கு ஒருவழியாக  இலங்கைக்கான 
பிரச்சனை ஒழிந்தது இனி இலங்கையை இந்தியாவுடன் இனைத்து விட வேன்டியதுதாங்க",13 days ago
0,அடுத்தது தமிழ்நாடுதான் ரெடியாஇருங்கடா மக்கள்விரோதிகளா,13 days ago
0,இராமாயணத்தில் ஹனுமான் தன் வாலில் வைத்த நெருப்பை தீமைகள் அழிய பயன்படுத்தியதாக உள்ளதே?! மீண்டும் ஒரு நவீன இதிகாசம் அங்கே ஆரம்பமாகிதோ என்று மக்கள் மத்தியிலே பேசுகின்றனரே!?,13 days ago
0,மோடி ஜீ தேகோ....ஜீ,13 days ago
0,இனப்படுகொலைக்கு முக்கிய காரணம் இந்த ராஜபக்ஷ குடும்பம்,13 days ago
0,ஜனாதிபதி பதவி விலகும் வரை இலங்கை மக்கள் சக்தி போராட்டம் தொடரும்,13 days ago
0,எதிரிக்கே இந்த நிலைமை  என்றால் துரோகிகளின் நிலைமை?,13 days ago
0,உலக வரலாற்றில் எவனோ ஒரு சொந்த மக்களுக்கு துரோகம் சொந்த வரகபோல கண்டுபிடிச்சது அதான்,13 days ago
0,Nandri ayya🙏,13 days ago
0,Unmyava,13 days ago
0,Viplla raja,13 days ago
0,Yetha Kovil yearunalum....neega tamil makkaluku panna pavam neegathu da echai gala 💦,13 days ago
0,தமிழ் வினை உன்னை சுடும்,13 days ago
0,Punitha payanam Ella pepunda senja pawam,13 days ago
0,இதை போல் புரட்ச்சி தமிழ் நாட்டில் எப்போது.,13 days ago
0,Eranammuraiyaga a Annamalai rubatil thiru Annamalai rubathil Hanuman Elangayay erithu kondru irrikirar,13 days ago
0,Irattam kuditta attai tthaanakaeeywilundiwidum,13 days ago
0,"Four true marks of the church = ஏகம் One, Holy, Catholic and Apostle (ie., 1 Timothy 6:15
 அவரே நித்தியானந்தமுள்ள ஏகசக்கராதிபதியும், Only Potentate) ;
One hundred Trillion or  ஒரு நூறு இலட்சம் காேடி = கோடானுகோடி (ஆயிரமாயிரம் ) =100000000000000;
What is his name?  = Revelation 22:4
அவருடைய ஊழியக்காரர் அவரைச் சேவித்து, அவருடைய சமுகத்தைத் தரிசிப்பார்கள்; அவருடைய நாமம் அவர்களுடைய நெற்றிகளில் இருக்கும். 
And they shall see his face; and his name shall be in their foreheads.
Hosea 2:16
அக்காலத்தில் நீ என்னை இனி ஈஷி (ISH, ISHI, RISHI, SIDDHI and ASCENDED MASTERS WHO FOLLOWS ANY DEITIES ETC.,) என்று சொல்லுவாய் என்று கர்த்தர் உரைக்கிறார். 
And it shall be at that day, saith the LORD, that thou shalt call me Ishi; and shalt call me no more Baali.
Revelation 5:11; 22:19;
ஒருவன் இந்தத் தீர்க்கதரிசன புஸ்தகத்தின் வசனங்களிலிருந்து எதையாகிலும் எடுத்துப்போட்டால், ஜீவபுஸ்தகத்திலிருந்தும், பரிசுத்த நகரத்திலிருந்தும், இந்தப் புஸ்தகத்தில் எழுதப்பட்ட கோடாகோடிகளிலிருந்தும், அவனுடைய பங்கை தேவன் எடுத்துப்போடுவார். 
And if any man shall take away from the words of the book of this prophecy of one crore crore, God shall take away his part out of the book of life, and out of the holy city, and from the things which are written in this book.",13 days ago
0,சீனா கதுறும் இனி..சரியாக நடத்துகிறது பக்கத்து நாட்டு உளவு துறை...ஹா ஹா.சீனா இனி இடத்த காலி செய்துவிட்டு ஓடமட்டுமே செய்ய முடியும்,13 days ago
0,இனப் படுகொலை செய்த பரதேசிகள் அழியவேண்டும்,13 days ago
0,உங்க குடும்பம் alethu விடு வார் கள் நாட்டை veitu ஓடி விடுங்கள்,13 days ago
0,RAJABAKSHES.AND.MODI.AMITSHA..NAYEKALAI..MAKKALAY..SERUPPAL.ADIKKA.VANDUM..QUICKLY,13 days ago
0,வினை விதைத்தவன் வினை அறுப்பான். அன்று எந்த சிங்கள மக்கள் ராஜபக்சேவை ஹீரோ என்று கொண்டாடினார்களோ இன்று அதே மக்களால் துரத்தி துரத்தி அடிக்கப்படுகிறார். இலங்கை தமிழ் மக்களின் பாவமும் சாபமும்  சும்மா போகுமா ???☺️😊☺️,13 days ago
0,"மக்கள் மன்னராட்சியை  எப்படி விரும்பவில்லையோ 
அதே போல்
குடும்ப ஆட்சியையும் ஆடம்பர வளர்ச்சியையும் வெறுக்கிறார்கள்.",13 days ago
0,அமைதியாக நடந்த ஜல்லிக்கட்டு போராட்டம் கலவரமாக மாற்றியது கூட இதே ராஜபக்சே அடிமைகள் தான்,13 days ago
0,அரசன் அன்று கொள்வான்.... தெய்வம் நின்று கொல்லும்.... இன்னும் இருக்கிறது.... இங்கே இந்த கொடூர கொலைக்கு துணை போன கயவர்கள் உத்தமர்களாக வலம் வருகிறார்கள்.... அவர்களுக்கு உண்மை தெரியாமல் முட்டாள் மக்கள் வெஞ்சாமரம் வீசுவது துர்திஷ்டம்,13 days ago
0,😉,13 days ago
0,Kattayam,13 days ago
0,Podaa pundaa,13 days ago
0,Enna da solla vara,13 days ago
0,"மாரி செல்வன், நல்லா மூளைச் சலவை உனக்கு பண்ணி இருக்காங்க.",13 days ago
0," @sridharan Krishnaswami  Revelation 16:13
[13]அப்பொழுது, வலுசர்ப்பத்தின் வாயிலும் மிருகத்தின் வாயிலும் கள்ளத்தீர்க்கதரிசியின் வாயிலுமிருந்து தவளைகளுக்கு ஒப்பான மூன்று அசுத்த ஆவிகள் புறப்பட்டுவரக் கண்டேன். 
And I saw three unclean spirits like frogs come out of the mouth of the dragon, and out of the mouth of the beast, and out of the mouth of the false prophet.",13 days ago
0, @mari selvan  இப்படியே இரு தலைவா.,13 days ago
0," @sridharan Krishnaswami  Ezekiel 45:17
இஸ்ரவேல் வம்சத்தார் கூடிவரக்குறிக்கப்பட்ட சகல பண்டிகைகளிலும் மாதப்பிறப்புகளிலும் ஓய்வு நாட்களிலும் தகனபலிகளையும் போஜனபலிகளையும் பானபலிகளையும் செலுத்துவது அதிபதியின்மேல் சுமந்த கடனாயிருக்கும்;
And it shall be the prince's part to give burnt offerings, and meat offerings
, and in the sabbaths in all solemnities of the house of Israel: he shall prepare the sin offering, and the meat offering, and the burnt offering, and the peace offerings, to make reconciliation for the house of Israel.

17 ஆனால் இஸ்ராயேல் வீட்டாரின் கடன் திருநாட்களிலும், மாதப் பிறப்பு ஆகிய பண்டிகைகளிலும், ஓய்வு நாட்களிலும், மற்றுமுள்ள இஸ்ராயேலின் திருவிழாக்களிலும் தலைவனே அவர்கள் செலுத்த வேண்டிய சாதாரண பலிகளையும் தகனப் பலிகளையும் சமாதானப் பலிகளையும் செலுத்தக் கடமைப்பட்டுள்ளான்.",13 days ago
0,ராஜபக்சே வீட்டிற்கு ராஜபக்சே தீ வைப்பு,12 days ago
0,"கண்டிப்பாக ஆடம்பரம் பொதுச்சொத்தை நாசமாக்குவது,
மனம்போன போக்கில் திரிவது 
இதெல்லாம் அழியும்.",13 days ago
0,இந்த நிலை திமுக விற்கு என்று வரும் இறைவா. நீயே எங்களை காக்க வேண்டும் 🙏,13 days ago
0,Kudumpa arisiyal olikka vendum...appotha Naadu munnerum...,13 days ago
0,சிங்களனை சிங்களனே காசுக்காக அடிக்கிறான். அற்புதம்.,13 days ago
0,Kathi yedthavan kathiyal savu  kaliyuga hanuman,13 days ago
0,மகிந்த தனக்கு போகவேண்டாம்னு சொல்லி கூட்டத்தை வரவழைத்து தனது உத்தியோகபூர்வ இல்லத்திற்கு அருகில் போராட்டம் நடத்துவோரை அடித்து துரத்துவதுமே செய்யப்பட்ட பிளான்.  அது அவர்கள் நினைக்காதளவு எதிர்ப்பை நாடுமுழுவதும் மக்கள் பொறுமையாக பாத்திருக்க இளைஞர்கள் அந்த கட்சியை சேர்ந்தவர்கள் மட்டுமல்ல எதிர்கட்சி தலைவனை கூட தாக்கினர். இலக்கை மக்கள் இப்போதுள்ள அரசியல்வாதிகளை மிகமிக வெறுக்கிறார்கள். அவர்களனைவரும் ஊழல்வாதிகள் என்று தெரிந்திருந்தாலும் தண்டிக்கபடபோவதில்லை என்றிருந்த மக்களுக்கு இந்த இளைஞர்களின் தண்டனைக்கும் பக்கபலமாக இலங்கை மக்கள் இருக்கிறார்கள். காசுகொடுத்தும் பயமுருத்தியும் கைதிகளையும் கூட்டிவந்த ராஜபக்ஷ கூட்டத்தை கொழும்புவாழ் இளைஞர்கள் அடித்து தூக்கி குளத்தில் வீசியதையும் பார்த்திருப்பீர்கள். மகிந்தவுக்காக அலரிமாளிகைக்கு வந்த கூட்டத்தை இலங்கை பெரும்பான்மையினர்  மக்களாகவே கருதவில்லை.,13 days ago
0,கலவரத்தை ௧டைசியா பணம் கொடுத்து பஸ் பஸ்ஸா ஆட்௧ளை இர௧்௧ி ௮வனே தூண்டுவிட்டு  நாட்டை விட்டு ஓட பார்௧ிறான்.....,13 days ago
0,தினை விதைத்தால் தினை வரும்.. வினை விதைத்ததால் வினைகள் தான் அறுவடை ஆகும்... ராஜபக்சே குடும்பம் அனுபவிக்கிறது / இன்னும் அனுபவிக்கும்,13 days ago
0,செய்தி தரமாக உள்ளது.,13 days ago
0,கடவுளே 160000 தமிழன கொன்றதில் இந்த தேவடியாபய இரண்டாம் குற்றவாளிதான் 1971 விஜவீரவின் சேகுவேரா போராட்டத்தில் சிறிமாவோ வெள்ளை கொடிகாட்டிவந்த விஜேவிரவை சுடுக்கொன்றுஅவனதுஆதரவுஇளைஞ்ஞர்கள்20000 பேரையும் வீட்டில் இருந்து இழுத்துசுட்டுக்கொன்றாள் இது அந்கடத்தல்மாமன்னுக்கு நன்றாகத்தெரியும் இறுதியுத்தத்தில் சிங்கள நாயிடம் சரணடையாமல் காட்டுக்குள் ஓடிஒழிந்து கொரில்லா யுத்தத்தை. தொடர்ந்திருந்தால் கடத்தல் மன்னன இன்றும் உயிருடன் இருந்து போரை தொடர்ந்திருக்கலாம் 160000 பேரை காப்பாற்றி இருக்கலாம் அதைவிடுத்து கடத்தல் மன்னன் உலகமகா தப்பை செய்தான் பாவி இந்த ஆயோக்கியன்தான் தமிழன் அழிவுக்கு முதல் காரணம் இது எத்தனை அறிவாளிக்கு தெரியும் போடா,13 days ago
0,மக்கள்  வேண்டாம்  என்று  சொல்லும்போது   என்னை  ஒன்றும்  செய்யமுடியாது  என்று  ஒருவன்  கூறுகிறான்  என்றால்  அவன்  மக்களாட்சி  செய்யவில்லை   தனிஒரு  குடும்பத்தின்  ஆட்சிதான்  நடந்திருக்கிறது   தெலுங்கர்கரகள்  குடும்ப ஆட்சிதான்  செய்வார்கள்,13 days ago
0,ராஜபக்சே வின் உறவினர்களான திராவிஷர்களுக்கும் விரைவில்...,13 days ago
